series,season,episode,episode_code,attempt_number,score,explanation,why_not_lower,why_not_higher
GA,14,09,GAS14E09,7,+1,"The episode foregrounds the experience of Dr. Bello, a 'Dreamer' under DACA, who faces the threat of deportation by ICE. Her story is presented with empathy and urgency, highlighting the injustice and fear faced by undocumented immigrants—even those who have lived in the US since childhood and contributed meaningfully to society. The narrative gives voice and agency to Bello, shows her colleagues actively supporting her, and critiques the system that targets her. The ICE agent is depicted as conflicted, and the episode's framing is sympathetic to Bello and critical of the immigration enforcement process. The episode encourages viewers to reflect on the impact of immigration policies and the broader context of racialized exclusion, aligning with the '+1' criteria: explicit acknowledgment and critique of racial dynamics, giving marginalized characters voice and agency, and prompting reflection.","The episode does not evade, minimize, or ambiguously present the racialized dynamics (as in 0 or -1). The narrative clearly signals that Bello's situation is unjust and problematic, and it does not normalize or accept racial inequality. The episode's stance is not ambiguous or neutral; it is critical and empathetic.","While the episode critiques the system and shows characters supporting Bello, it does not depict active dismantling of racist structures, offer a transformative vision, or advocate for systemic change as required for '+2' or '+3'. The focus is on recognition and critique, not on broader advocacy or imagining new solutions."
GA,14,09,GAS14E09,8,+1,"The episode centers a storyline about Dr. Bello, a 'Dreamer' under DACA, who faces deportation due to a minor legal infraction. The narrative explicitly foregrounds the racialized dynamics of immigration enforcement, showing the emotional impact on Bello and her colleagues. The ICE agent is depicted as conflicted, and the doctors actively seek ways to protect Bello, including helping her escape to Switzerland. The episode critiques the injustice and trauma of current immigration policies, particularly as they affect young professionals of color. It gives voice and agency to Bello, highlighting her achievements and humanity, and encourages viewers to reflect on the broader implications of these policies. This aligns with '+1': the episode recognizes and explicitly foregrounds racial dynamics with critique, but does not move into sustained advocacy or systemic transformation.","The episode does not merely minimize or evade racial issues ('-1'). Instead, it directly addresses the impact of immigration enforcement on a racialized character, foregrounds her story, and frames the situation as unjust. The narrative is not ambiguous (0); it clearly positions the ICE action as harmful and critiques the system.","While the episode is critical and supportive of Bello, it does not show characters actively working to dismantle racist structures or offer a vision of systemic change ('+2'). The solutions are individual (helping Bello escape), not collective or transformative. The episode does not reach the level of advocacy for systemic change or offer a profound deconstruction of racial hierarchy ('+3')."
GA,14,09,GAS14E09,9,+1,"The episode foregrounds the experience of Dr. Bello, a 'Dreamer' under DACA, who faces the threat of deportation by ICE. The narrative explicitly acknowledges the injustice and trauma of this situation, giving Bello voice and agency to express her fear, her history of migration due to war, and her achievements in America. Multiple characters, including Dr. Bailey and others, actively support Bello, challenge the ICE agent, and attempt to find solutions to protect her. The ICE agent himself is shown as conflicted about his role, and the episode is critical of the system that targets young professionals and doctors for deportation. The narrative encourages viewers to reflect on the impact of immigration enforcement and the vulnerability of marginalized groups, aligning with '+1' as it recognizes and critiques racialized dynamics and systemic bias.","The episode does not merely evade or minimize racial issues ('-1'); it directly engages with the topic of immigration, DACA, and the threat of deportation, making the racialized dynamics central to the narrative. Nor is it ambiguous or neutral ('0'); the episode's stance is clear in its critique and in the support shown for Bello.","While the episode actively critiques the injustice and foregrounds the emotional and social impact, it does not show characters working to dismantle racist structures or offer a broader vision of equity ('+2'). The solutions are focused on individual escape and protection, not systemic change or advocacy for policy reform. The episode does not reach a transformative or visionary stance ('+3')."
GA,14,09,GAS14E09,10,+1,"The episode foregrounds the experience of Dr. Bello, a 'Dreamer' under DACA, who is threatened with deportation by ICE. Her story is given substantial narrative space, including her fear, her colleagues' support, and explicit references to the injustice of her situation (e.g., 'Sam's an American, okay, just like me'). The episode critiques the system that targets her, shows the emotional and professional consequences, and frames her as sympathetic and deserving of protection. The ICE agent is humanized but also shown as part of a problematic system, and the narrative voice (through Dr. Bailey and others) clearly signals that the treatment of Bello is wrong and unjust. The episode encourages viewers to reflect on the impact of immigration policies and the precariousness faced by marginalized groups, aligning with '+1' for explicit recognition and critique of racialized dynamics.","The episode does not evade, minimize, or ambiguously present the racialized immigration issue. It does not leave the topic implicit or unaddressed ('0'), nor does it normalize or accept the injustice ('-1' or '-2'). Instead, it foregrounds the issue, gives voice to the affected character, and frames the situation as unjust.","While the episode is critical and supportive of Bello, it does not depict characters actively dismantling racist structures or offer a vision of systemic change ('+2'). The solutions are individual (helping Bello escape, supporting her emotionally), not collective or transformative, and the episode does not advocate for broader policy change or depict systemic advocacy ('+3')."
GA,19,01,GAS19E01,1,+1,"The episode contains an explicit reference to racial disparities in medical outcomes, specifically when Dr. Millin recognizes Dr. Pierce for her published work on racial disparities after bypass surgery. This moment foregrounds the existence of systemic racial bias in healthcare and positions Dr. Pierce as a positive figure for addressing it. However, this is a brief, isolated mention and is not integrated into the episode's main narrative arc, which otherwise focuses on medical emergencies, personal struggles, and professional dynamics. There are no overtly racist incidents, nor is racism normalized, minimized, or evaded. The episode does not present contradictory signals or leave the racial theme ambiguous; instead, it clearly acknowledges the issue and frames it as important and worthy of praise. This matches '+1' on the scale: recognition and explicit foregrounding of racial dynamics with critique.","The episode does more than simply minimize or evade racial issues (-1), as it directly references systemic racial disparities and frames the work addressing them positively. It is not ambiguous (0), as the narrative clearly signals that addressing racial disparities is important.","The episode does not actively challenge racial inequality or promote equity (+2), nor does it advocate for systemic change (+3). The mention of racial disparities is brief and not central to the episode's narrative or its resolution. There is no depiction of characters working to dismantle racist structures or a transformative vision for equity."
GA,19,01,GAS19E01,2,1,"The episode contains explicit references to racial dynamics and bias in medicine, notably through the mention of Dr. Pierce's published research on racial disparities in cardiac surgery outcomes. This is foregrounded in a positive, admiring exchange between interns and attendings, and the narrative treats the topic as important and worthy of recognition. While the episode's main plot centers on organ transplantation and medical training, the inclusion and respectful treatment of this racial disparity research signals narrative awareness and critique of racism in healthcare. Additionally, the episode features a racially diverse cast in positions of agency and authority, and there are no instances of normalization or endorsement of racial inequality. However, the episode does not center its narrative on challenging racism or promoting systemic change, nor does it offer a transformative or advocacy-driven stance.","The episode does not merely minimize or evade racial issues (-1), as it directly acknowledges and positively frames the topic of racial disparities in medicine. The narrative does not leave racial dynamics implicit or ambiguous (0), but instead explicitly foregrounds them, albeit briefly.","The episode does not actively challenge racial inequality or promote equity (+2), nor does it advocate for systemic change or offer a transformative exploration of racism (+3). The reference to racial disparities is acknowledged and respected but not developed into a major narrative arc or solution-oriented storyline."
GA,19,01,GAS19E01,3,1,"The episode explicitly foregrounds racial dynamics in a positive, critical way, but does so only in a limited, incidental fashion. The most direct engagement is the scene where Dr. Jules Millin recognizes Dr. Pierce from an article about racial disparities in bypass surgery outcomes, praises her work, and expresses admiration. This moment acknowledges the existence of racial disparities in medicine and highlights the importance of research and awareness, which fits the '+1' criteria: recognition and explicit foregrounding of racial dynamics with critique. However, this is a brief, passing reference and not a central narrative arc. There are no overtly racist incidents, nor is there any normalization or minimization of racial issues. The episode otherwise features a racially diverse cast and some implicit references to diversity (e.g., the new class of residents), but these are not thematized in relation to racism. The overall narrative stance is respectful and inclusive, and the one explicit mention of racial disparities is treated with seriousness and admiration.","The episode goes beyond '0' (implicit presence/ambiguity) because it directly references racial disparities in medical outcomes and frames this as an important issue, with the narrative clearly signaling approval and respect for the work addressing it. There is no ambiguity or contradiction in the stance: the message is that recognizing and critiquing racial disparities is good and necessary. There is no minimization or evasion as described in '-1', nor normalization of inequality as in '-2'.","The episode does not reach '+2' (active challenge to racial inequality/promotion of equity) because it does not show characters working to dismantle racist structures, nor does it offer a vision of a more equitable society or highlight pathways to achieving it. The mention of racial disparities is brief and not developed into a major theme or transformative arc. There is no advocacy for systemic change or deep empowerment as described in '+3'."
GA,19,01,GAS19E01,4,+1,"The episode contains an explicit reference to racial disparities in medical outcomes: Dr. Millin recognizes Dr. Pierce from her published article about racial disparities in outcomes after bypass surgery, calling her 'brilliant' and expressing admiration for the work. This moment foregrounds the existence of systemic racial bias in medicine and frames it positively, as Dr. Pierce is respected for her research and advocacy. However, this is the only direct engagement with racism or racial inequality in the episode. The rest of the narrative does not thematize race or racism, nor does it present overtly problematic or exclusionary dynamics. The episode recognizes and critiques racial bias in medicine, but does not integrate this theme into the dominant narrative arc or offer sustained engagement beyond this brief exchange. This matches the '+1' criteria: explicit acknowledgment and critique of racial dynamics, but not a deeper or more transformative engagement.","The episode does more than simply omit or evade racial issues (-1), as it directly foregrounds racial disparities in medical outcomes and frames this as an important, positive contribution. The narrative does not minimize or reframe the issue as incidental; instead, it recognizes the importance of addressing racial bias in healthcare.","The episode does not actively challenge racial inequality or promote equity (+2), nor does it advocate for systemic change (+3). The reference to racial disparities is brief and not integrated into the main plot or character arcs; there is no depiction of characters working to dismantle racist structures, nor is there a transformative or visionary approach to racial justice. The dominant stance is recognition and critique, not active challenge or advocacy."
GA,19,01,GAS19E01,5,+1,"The episode contains a brief but explicit reference to racial disparities in medical outcomes, specifically when Dr. Millin recognizes Dr. Pierce for her published work on racial disparities after bypass surgery. This moment foregrounds the issue of racism in healthcare and acknowledges the existence of systemic bias. The narrative treats Dr. Pierce's work as important and admirable, and the interaction is positive and respectful. However, this is the only direct engagement with race or racism in the episode. The rest of the episode focuses on medical drama, organ transplants, and personal relationships, without further exploration of racial dynamics. There is no evidence of normalization or minimization of racial issues, nor is there endorsement of discriminatory attitudes. The episode's stance is one of recognition and critique, but it does not go beyond this to actively challenge or advocate for systemic change.","The episode does more than simply evade or minimize racial issues (-1), as it explicitly foregrounds racial disparities in a positive and critical manner through Dr. Pierce's research and the admiration shown by Dr. Millin. The topic is not ambiguous or implicit (0); it is directly addressed.","The episode does not actively challenge racial inequality or promote equity (+2), nor does it advocate for transformative change (+3). The reference to racism is limited to recognition and critique, without showing characters working to dismantle racist structures or offering a broader vision of equity."
GA,19,01,GAS19E01,6,N/A,"The episode contains no discernible references—explicit or implicit—to race, ethnicity, or racism as a theme. While the cast is racially diverse and there is a brief mention of a character recognizing Dr. Pierce from an article about racial disparities in bypass surgery outcomes, this reference is fleeting, not thematized, and does not influence the narrative or character arcs. No plotlines, conflicts, or character developments center on race, racism, or racial dynamics. The episode's focus is on medical emergencies, organ transplants, and the personal/professional struggles of the new interns, with no material that can be reasonably interpreted as engaging with race-related issues.",,"A score of -3, -2, -1, 0, +1, +2, or +3 is not appropriate because the episode does not engage with race or racism at all, either positively or negatively. The brief mention of racial disparities in a medical paper is not developed or integrated into the episode's narrative stance, and there are no other relevant references. Therefore, 'N/A' is the only fitting score."
GA,19,01,GAS19E01,7,N/A,"The episode contains no discernible references—explicit or implicit—to race, ethnicity, or racism as a theme. While there is visible diversity among the characters (e.g., Dr. Pierce is recognized for her research on racial disparities in cardiac surgery), this is limited to a brief acknowledgment of her academic work and not thematized or developed in the episode's narrative. There are no storylines, conflicts, or character arcs in this episode that engage with issues of racism, racial identity, or racial inequality. The episode's focus is on organ transplantation, medical training, and personal/professional challenges, with no material that can be reasonably interpreted as engaging with race-related issues.",,
GA,19,01,GAS19E01,8,N/A,"After a thorough review of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The episode focuses on the introduction of new surgical interns, organ transplants, medical errors, and personal/professional relationships. While there is some diversity in character names and possible casting (e.g., Dr. Yasuda, Dr. Ndugu, Dr. Pierce), the narrative does not thematize or make relevant any character's racial or ethnic identity to the events, dialogue, or conflicts. The only moment that even tangentially touches on the topic is a brief mention of Dr. Pierce's article about 'racial disparities in outcomes after bypass surgery,' but this is referenced solely as a professional achievement and is not developed into a narrative thread, critique, or discussion about racism or racial dynamics. No other material can be reasonably interpreted as engaging with race-related issues.",,
GA,19,01,GAS19E01,9,1,"The episode contains explicit references to racial dynamics in medicine, most notably when Dr. Jules Millin recognizes Dr. Pierce from her published research on racial disparities in outcomes after bypass surgery. This moment foregrounds the issue of racial inequality in healthcare and presents it as a topic worthy of admiration and professional respect. The narrative gives space for this recognition and positions Dr. Pierce as a positive role model whose work on racial disparities is celebrated. However, beyond this acknowledgment, the episode does not further develop or critique systemic racism in medicine or society at large. The rest of the episode centers on medical emergencies, organ transplantation, and personal struggles, with no other significant engagement with race or racism. The episode’s stance is thus one of explicit recognition and foregrounding of racial dynamics with critique, but not active challenge or advocacy.","The episode does more than minimize or evade racial issues (-1), as it directly references and praises work addressing racial disparities in healthcare. The issue is not reframed as incidental or omitted; instead, it is explicitly acknowledged and positively valued.","The episode does not actively challenge racial inequality or promote equity (+2), nor does it offer transformative representation or advocacy for systemic change (+3). The reference to racial disparities is brief and not integrated into the main narrative arc, and there is no depiction of characters working to dismantle racist structures or imagining broader solutions."
GA,19,01,GAS19E01,10,+1,"The episode contains explicit reference to racial disparities in medical outcomes, notably through a scene where Dr. Millin recognizes Dr. Pierce for her published work on racial disparities after bypass surgery. This moment foregrounds race as a relevant social issue and positions the narrative as aware of, and critical toward, systemic inequities. The episode gives voice and agency to Dr. Pierce, a Black female surgeon, and frames her expertise and advocacy positively. However, this engagement is limited to a brief acknowledgment and does not permeate the episode's main narrative arcs, which focus primarily on medical drama, organ transplantation, and interpersonal relationships. There are no overtly racist incidents, nor is racism normalized or minimized; instead, the episode signals critical awareness and respect for those who challenge racial inequity.","The episode does more than simply evade or minimize racial issues (-1), as it directly references racial disparities and frames them as important and worthy of recognition. The narrative does not leave racial dynamics ambiguous (0); it signals a clear, albeit brief, critical stance.","The episode does not actively challenge racial inequality or promote equity beyond the acknowledgment of disparities (+2), nor does it offer transformative advocacy or systemic solutions (+3). The engagement with race is present and critical, but not central or sustained throughout the episode."
TGD,01,01,TGDS01E01,1,N/A,"The episode centers on the hiring of Dr. Shaun Murphy, an autistic surgical resident, and explores themes of disability, difference, and institutional bias. There is a brief explicit reference to past discrimination against Black and female doctors at the hospital, but this is used as an analogy for the current debate about hiring someone with autism. No characters' racial identities are thematized or made relevant to the plot, and there are no discernible references—explicit or implicit—to race, ethnicity, or racism in the episode's events, dialogue, or character arcs. The narrative does not engage with race-related issues in any substantive way.",,
TGD,01,01,TGDS01E01,2,N/A,"After a thorough review of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative centers on Shaun Murphy, a young doctor with autism, and the challenges he faces in being accepted as a surgical resident. While the episode does address issues of discrimination and inclusion, these are exclusively related to disability and neurodiversity, not race. The only mention of race is a brief historical reference to the hospital's past exclusion of Black and female doctors, used as an analogy for Shaun's situation as an autistic candidate. This moment does not thematize race or racism in the present narrative, nor does it engage with racial dynamics among characters or in the hospital setting. There are no racialized interactions, stereotypes, or discussions of systemic or interpersonal racism. Thus, according to the scale, the episode qualifies for 'N/A – Not Applicable (No relevant content)'.",,
TGD,01,01,TGDS01E01,3,N/A,"The episode's narrative, as reflected in the subtitles, centers on the hiring of an autistic surgical resident and the biases and challenges he faces. The only explicit reference to race or racism occurs during a boardroom discussion, where a character draws a historical parallel: 'How long ago was it that we wouldn't hire black doctors in this hospital? How long ago was it that we wouldn't hire female doctors at this hospital?' This is used as an analogy to critique ableism, not to engage directly with racial issues. There are no other references—explicit or implicit—to race, ethnicity, or racism in the episode. No characters' racial identities are thematized or made relevant to events or dialogue, and there are no plotlines, conflicts, or jokes that hinge on race or racism. The episode does not engage with race-related issues in any meaningful or narrative-relevant way.",,
TGD,01,01,TGDS01E01,4,N/A,"After a thorough review of the episode's subtitles, there are no explicit or implicit references to race, ethnicity, or racism. The narrative centers on the hiring of an autistic doctor and the biases and challenges he faces due to his neurodiversity. While there is a brief mention of historical discrimination against Black and female doctors in the hospital, this is used solely as an analogy to discuss the current situation regarding disability and does not engage with race or racism as a theme in the episode. No characters' racial identities are thematized or made relevant to any events or dialogues, and there is no material that can be reasonably interpreted as engaging with race-related issues. The episode might lack diversity, but this absence is not itself thematized or made relevant.",,
TGD,01,01,TGDS01E01,5,N/A,"After a thorough review of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative centers on Shaun Murphy's autism and the hospital's debate about hiring him, with some discussion of disability, difference, and inclusion. The only mention of race comes in a brief historical reference: 'How long ago was it that we wouldn't hire black doctors in this hospital? How long ago was it that we wouldn't hire female doctors at this hospital?' This is used as an analogy to argue for hiring Shaun, but does not engage with race or racism as a theme in the episode's events, character dynamics, or narrative stance. No characters' racial identities are thematized or made relevant to any plot points, and there is no engagement with race-related issues in the episode's story.",,
TGD,01,01,TGDS01E01,6,+1,"The episode contains a significant scene where the hiring of Dr. Shaun Murphy, an autistic doctor, is debated. During this debate, Dr. Glassman draws a direct parallel between past discrimination against Black and female doctors and the current skepticism toward hiring someone with autism. He explicitly references the hospital's history of racial and gender exclusion and frames the hiring of Shaun as a step toward greater inclusivity. This moment foregrounds issues of discrimination and bias, recognizing and critiquing the legacy of racism and sexism in medicine. However, the episode's primary focus is on disability and neurodiversity, with race only invoked as an analogy in dialogue. There are no explicit racialized conflicts, systemic challenges to racism, or transformative anti-racist actions depicted in the episode's narrative. The episode does not normalize or evade racial issues; instead, it acknowledges them and uses them as a critical reference point for the main storyline.","A score of '0' would require ambiguity or a lack of clear narrative stance, but the episode clearly references and critiques the history of racial exclusion. '-1' would apply if racial issues were evaded or minimized, but here they are explicitly acknowledged and problematized, even if not the central theme.","The episode does not actively challenge racial inequality or promote systemic change regarding race ('+2' or '+3'). The reference to racism is used as an analogy, not as a central narrative arc, and there is no depiction of characters working to dismantle racist structures or advocating for transformative change."
TGD,01,01,TGDS01E01,7,N/A,"The episode centers on the hiring of Dr. Shaun Murphy, a surgeon with autism, and the challenges and prejudices he faces within the hospital system. While there is a brief reference to the hospital's past exclusion of Black and female doctors, this is used as an analogy to advocate for Shaun's hiring, not as a direct engagement with race or racism in the episode's narrative. There are no explicit or implicit references to race, ethnicity, or racism in the events, character interactions, or dialogue beyond this analogy. The racial identities of characters are not thematized or made relevant to any plot points, and no material can be reasonably interpreted as engaging with race-related issues. The episode's focus is entirely on ableism, neurodiversity, and institutional bias regarding disability, not racism.",,
TGD,01,01,TGDS01E01,8,N/A,"After a thorough review of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative centers on the challenges faced by Dr. Shaun Murphy, a young surgeon with autism, and the hospital's debate over hiring him. While there are discussions of discrimination and inclusion, these are exclusively focused on disability (autism) and, to a lesser extent, gender. The only mention of race is a brief historical reference to the hospital's past exclusion of Black and female doctors, but this is used solely as an analogy for disability discrimination and is not developed as a theme or narrative concern. No characters' racial identities are thematized, and there are no events, dialogues, or dynamics that engage with race-related issues. Thus, the episode contains a complete lack of representation of the topic of racism.",,
TGD,01,01,TGDS01E01,9,N/A,"After a thorough review of the episode's subtitles, there are no discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative centers on Shaun Murphy, a doctor with autism, and the challenges he faces in being accepted as a surgical resident. While there is substantial discussion of discrimination and bias, it is exclusively focused on ableism and attitudes toward neurodiversity, not racial identity or racism. The only mention of race occurs in a boardroom scene where the hospital's past exclusion of Black and female doctors is referenced as a historical analogy to ableism, but this is not developed into a theme about racism in the episode itself. No characters' racial identities are thematized or made relevant to events or dialogue, and there is no material that can be reasonably interpreted as engaging with race-related issues.",,
TGD,01,01,TGDS01E01,10,N/A,"The episode's content, as represented by the subtitles, does not contain any discernible references—explicit or implicit—to race, ethnicity, or racism. The narrative focuses on disability (autism), professional hierarchy, and interpersonal relationships, but there are no characters whose racial identity is thematized or made relevant to events or dialogue. The only mention of race is a brief historical reference to the hospital's past exclusion of Black and female doctors, used as an analogy for disability inclusion, but this is not developed into a substantive engagement with racial dynamics. There is no material that can reasonably be interpreted as engaging with race-related issues, and the topic is entirely absent from the episode's events, conflicts, and resolutions.",,
NA,02,16,NAS02E16,1,+1,"The episode foregrounds racial dynamics primarily through the storyline involving George Whitney, a white nationalist who commits a terror attack at a Middle Eastern street fair. The narrative makes explicit that Whitney is a racist perpetrator, and several characters express clear moral condemnation of his actions (e.g., calling him a 'racist son of a--'). Importantly, the episode addresses the ethical dilemma of treating a racist terrorist in a hospital setting: doctors debate their feelings but ultimately reaffirm their professional commitment to treat all patients without prejudice. This is highlighted in Dr. Reynolds' reflection on wanting to be a doctor 'without prejudice,' referencing Bessie Smith's death due to racism in medicine, and expressing regret for voicing judgment in the OR. The episode thus recognizes and critiques racism, foregrounds the impact of prejudice, and encourages reflection on professional ethics and systemic bias. However, the critique is mostly at the level of recognition and discussion, rather than depicting active dismantling of racist structures.","The episode does not merely evade or minimize racial issues (-1); it directly names racism, identifies the perpetrator as a white nationalist, and frames his actions as morally reprehensible. The narrative does not normalize or accept racial inequality (-2), nor does it endorse discriminatory attitudes (-3). The stance is clear and critical, not ambiguous (0).","While the episode critiques racism and foregrounds ethical dilemmas, it does not actively show characters working to dismantle racist systems or promote broader racial equity (+2), nor does it offer transformative advocacy or systemic solutions (+3). The focus is on recognition and critique, not on envisioning or enacting change."
NA,02,16,NAS02E16,2,+1,"The episode features a major subplot involving a mass casualty event at a Middle Eastern street fair, which is revealed to be a terror attack perpetrated by a white supremacist. The narrative explicitly identifies the perpetrator as a white nationalist and a racist, and characters react with disgust and condemnation (e.g., 'racist son of a--'). There is a clear acknowledgment of the racial dynamics at play: the attack targets a Middle Eastern community, and the staff must treat the perpetrator despite their personal feelings. The episode also includes a moment of self-reflection by Dr. Reynolds, a Black doctor, who recalls Bessie Smith's death due to racial discrimination and expresses his commitment to practicing medicine without prejudice. The narrative foregrounds these racial issues, critiques racism, and gives voice to marginalized perspectives, fulfilling the '+1' criteria of explicit recognition and critique of racial dynamics.","The episode does not evade, minimize, or ambiguously present racial issues (0 or -1); instead, it directly names and critiques white supremacy and racism, and characters openly discuss their feelings about treating a racist perpetrator. The narrative does not normalize or endorse racial inequality (-2 or -3); rather, it problematizes it and encourages reflection.","While the episode critiques racism and foregrounds racial dynamics, it does not go as far as actively promoting equity or showing characters working to dismantle racist structures ('+2'), nor does it offer a transformative or systemic vision for change ('+3'). The focus remains on recognizing and critiquing specific incidents and their immediate impact, rather than broader anti-racist action or advocacy."
NA,02,16,NAS02E16,3,+1,"The episode's dominant narrative stance toward racism is one of explicit recognition and critique, but not active transformation or advocacy. The central plot involves a white nationalist (George Whitney) perpetrating a terror attack at a Middle Eastern street fair, with several scenes directly naming his racism ('Because he's a white supremacist. This racist son of a-- he almost killed seven people and now we have to save his life.'). The medical staff, while expressing disgust and frustration, ultimately treat him professionally and discuss the ethical imperative to provide care without prejudice. The episode foregrounds the tension between personal feelings about racism and professional responsibilities, and includes a reflective moment about the legacy of racism in medicine (Dr. Reynolds referencing Bessie Smith's death due to hospital segregation and his own commitment to being a doctor 'without prejudice'). These elements align with '+1' on the scale: the episode explicitly acknowledges and critiques racism, gives voice to marginalized perspectives, and encourages reflection, but does not move into sustained advocacy or systemic challenge.","The episode does not evade, minimize, or ambiguously present racism (0 or -1): it names the perpetrator's white supremacy, discusses the impact of racism in medicine, and frames racist actions as unequivocally wrong. The narrative does not normalize or endorse racism (-2 or -3); racist views are condemned or treated with discomfort by positive characters, and the audience is guided to see racism as a problem.","The episode does not actively challenge racial inequality or promote systemic change (+2 or +3): while it critiques racism and foregrounds ethical dilemmas, it does not depict characters working to dismantle racist structures, nor does it offer a transformative vision or advocacy for systemic change. The focus remains on recognizing and critiquing racism within the immediate context, rather than broader anti-racist action."
NA,02,16,NAS02E16,4,+1,"The episode foregrounds racial dynamics primarily through the storyline involving George Whitney, a white nationalist who perpetrates a terror attack at a Middle Eastern street fair. The narrative does not shy away from naming his racism and terrorism explicitly, with multiple characters referring to him as a 'racist son of a--' and 'white supremacist.' There is clear discomfort and condemnation from positive characters (e.g., Dr. Reynolds, Dr. Nottingham), and the narrative makes a point of showing that medical professionals treat all patients without prejudice, even those whose actions are abhorrent. Dr. Reynolds, in particular, reflects on the legacy of racism in medicine (referencing Bessie Smith's death after being refused service at an all-white hospital) and expresses regret for a moment of personal bias, which is then discussed and critiqued. The episode also includes a subplot about a school shooting drill, which, while not directly about racism, demonstrates the show's willingness to address trauma and systemic issues. Overall, the episode explicitly acknowledges and critiques racism and bias, giving voice to marginalized perspectives and encouraging reflection, but does not move into the territory of actively promoting systemic change or showing characters working to dismantle racist structures.","The episode does not merely minimize or evade racial issues (-1); it directly names and critiques racism, both in the context of the terror attack and in the reflection on medical history. The narrative is not ambiguous (0), nor does it normalize or accept racial inequality (-2); instead, it foregrounds the problem and frames it as wrong.","While the episode critiques racism and foregrounds the need for medical professionals to treat all patients equally, it does not show characters actively working to dismantle racist structures or promote a broader vision of equity (+2). The narrative remains focused on recognition and critique, rather than advocacy or transformative action."
NA,02,16,NAS02E16,5,+1,"The episode features a major plotline involving a white nationalist who perpetrates a terror attack at a Middle Eastern street fair, resulting in multiple casualties. The narrative does not shy away from naming the perpetrator's racist motives ('Because he's a white supremacist. This racist son of a-- he almost killed seven people and now we have to save his life.'). The medical staff express disgust and frustration about having to save the life of a racist terrorist, but the narrative ultimately foregrounds their commitment to treating all patients without prejudice, referencing Bessie Smith's death due to racial discrimination and the aspiration to be a doctor 'without prejudice.' This self-reflection and explicit critique of racism aligns with the '+1' criteria: the episode acknowledges and addresses racial dynamics, highlights bias and discrimination, and encourages viewers to reflect on these issues. However, the episode does not go so far as to show characters actively dismantling racist structures or offer transformative solutions.","The episode does not evade, minimize, or ambiguously present racial issues ('0' or '-1'). The racist attack and its motivations are explicitly named, and the narrative frames racism as wrong through the characters' reactions and self-examination. The episode does not normalize or endorse racial inequality ('-2' or '-3'); instead, it critically engages with the topic.","The episode does not reach '+2' or '+3' because, while it critiques racism and foregrounds the ethical commitment to treat all patients, it does not show characters actively working to dismantle racist structures, nor does it offer a vision for systemic change or transformative advocacy. The focus remains on recognition and critique rather than on promoting equity or imagining solutions."
NA,02,16,NAS02E16,6,+1,"The episode explicitly foregrounds racial dynamics and bias in the storyline involving George Whitney, a white nationalist who perpetrates a terror attack at a Middle Eastern street fair. The narrative makes clear that Whitney is a white supremacist, and several characters express disgust at his actions and beliefs (e.g., 'This racist son of a-- he almost killed seven people and now we have to save his life'). Importantly, the episode includes a reflective moment where Dr. Reynolds, a Black doctor, discusses his personal commitment to practicing medicine without prejudice, referencing the historical injustice faced by Bessie Smith. The narrative critiques racism both through the depiction of Whitney's hate crime and through the self-examination of the doctors, particularly when Reynolds admits to a moment of bias but is reassured by his fiancée that he lives his values daily. The episode does not leave the issue ambiguous or minimized; instead, it recognizes and critiques the presence and impact of racism within the hospital context and society.","The episode does not evade, minimize, or ambiguously present racism ('0' or '-1'); instead, it directly addresses the white nationalist's actions, the impact on victims, and the ethical dilemmas faced by the doctors. The narrative clearly signals that racism is wrong, and the main characters' responses are critical and reflective, not neutral or accepting.","While the episode explicitly critiques racism and foregrounds racial dynamics, it does not go as far as actively promoting systemic change or depicting characters working to dismantle racist structures ('+2' or '+3'). The focus is on recognizing and critiquing specific instances of racism and personal reflection, rather than advocating for or enacting broader structural change."
